记录号:	题名责任者项	出版发行项
217	社会变迁与运动员生活秩序的重建 [博士论文] : 以山西省武术运动员退役生活（1958-2008）为中心的研究 / 田文波著 ; 刘长林指导	", 2016"
231	中国武舞与巫术交融及其流变对武术影响的研究 [博士论文] / 谭广鑫著 ; 程大力指导	", 2016"
232	"少林禅武医的传承、特征与价值研究 [博士论文] = Study of Shaolin Chanwuyi : inheritance, characters and value / 赵明元著 ; 钟秉枢指导"	", 2016"
239	武术遗产在旅游中的应用价值研究 [博士论文] : 以嵩山少林寺为例 / 陈子超著 ; 王挺之指导	", 2016"
248	"比较体育学视角下中、日、韩武技发展影响因素研究 [博士论文] = Research on the influential factors of China, Japan and Korea in the development of martial arts under comparative perspective of sports science / 鲁允九著 ; 赵光圣指导"	", 2016"
250	武术传承与文化生态 [博士论文] : 黔中布依族铁链械研究 / 黄尚军著 ; 郑勤指导	", 2016"
252	近代中国武术组织与民族主义 [博士论文] : 以精武体育会、中央国术馆为中心（1909-1953） = Modern Chinese martial arts organizations and nationalism : the activities of Chinese Chinwoo Associations and Central Guoshu Institute(1909-1953) / 黎俊忻著 ; 程美宝指导	", 2016"
50	赵堡太极拳 [海外中文图书]	"台北 : 大展出版社有限公司, 2020-"
85	淮阳武术志 [专著] / 戚大江主编 ; 淮阳县体育中心，淮阳县武术协会[编印]	"[淮阳] : [淮阳县体育中心], [2019]"
79	亳州武术文化研究 [专著]	"长春 : 吉林大学出版社, 2019"
87	上海的记忆——精武文化 [专著]	"上海 : 上海教育出版社有限公司, 2019"
